method_name, cluster_id
FunctionSignature(ExtensionPointsConfigurationAnalyzer::FindAndRegisterValidResultsReordererExtensionPoints:2):139,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::FindAndRegisterValidQueryWeightsSupplierExtensionPoints:2):160,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::FindAndRegisterValidQueryRewriterExtensionPoints:2):181,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::LoadAssembly:2):202,5
FunctionSignature(ExtensionPointsConfigurationAnalyzer::CreateInstance:3):208,5
FunctionSignature(ExtensionPointsConfigurationFileReader::ReadAndValidate:2):11,5
FunctionSignature(ExtensionPointsConfigurationFileReader::WriteConfiguration:2):30,5
FunctionSignature(ExtensionPointsConfigurationFileReader::TryRetrieveConfigurationObject:1):49,5
ConstructorSignature(ParserExtensionPointsConfiguration::ParserExtensionPointsConfiguration:0):7,5
FunctionSignature(ParserExtensionPointsConfiguration::get:0):13,5
FunctionSignature(ParserExtensionPointsConfiguration::set:0):13,5
FunctionSignature(ParserExtensionPointsConfiguration::get:0):14,5
FunctionSignature(ParserExtensionPointsConfiguration::set:0):14,5
FunctionSignature(ExceptionFormatter::CreateMessage:1):7,5
FunctionSignature(ExceptionFormatter::CreateMessage:2):12,5
FunctionSignature(FileLogger::CreateCustomLogger:1):13,5
ConstructorSignature(FileLogger::FileLogger:0):20,5
FunctionSignature(FileLogger::get:0):30,5
FunctionSignature(FileLogger::CreateLog:1):36,5
FunctionSignature(WordSplitter::ExtractWords:1):12,5
FunctionSignature(WordSplitter::ExtractSearchTerms:1):21,5
FunctionSignature(WordSplitter::InvalidCharactersFound:1):61,5
ConstructorSignature(PaiceStemmer::PaiceStemmer:2):20,5
FunctionSignature(PaiceStemmer::stripAffixes:1):35,5
FunctionSignature(PaiceStemmer::ReadRules:1):58,5
FunctionSignature(PaiceStemmer::stripSuffixes:1):121,5
FunctionSignature(PaiceStemmer::FirstVowel:2):326,5
